source,target,relation
Dewi Santoso,Binus,attended
Dewi Santoso,Tangerang,lives_in
Dewi Santoso,Kubernetes,has_skill
Dewi Santoso,PHP,has_skill
Dewi Santoso,Swift,has_skill
Dewi Santoso,Kotlin,has_skill
Dewi Santoso,Indonesian,speaks
Dewi Santoso,Arabic,speaks
Dewi Santoso,job_15,applied
Dewi Santoso,job_2,applied
Dewi Santoso,job_1,applied
Dewi Santoso,Google Cloud Certified,has_certification
Dewi Santoso,Mid Level,has_experience_level
Dewi Santoso,With Honors,has_GPA_level
Indah Saputra,UMN,attended
Indah Saputra,Jakarta,lives_in
Indah Saputra,Kotlin,has_skill
Indah Saputra,MongoDB,has_skill
Indah Saputra,Docker,has_skill
Indah Saputra,Arabic,speaks
Indah Saputra,English,speaks
Indah Saputra,job_3,applied
Indah Saputra,job_17,applied
Indah Saputra,job_8,applied
Indah Saputra,AWS Certified,has_certification
Indah Saputra,Microsoft Certified,has_certification
Indah Saputra,Manager,has_experience_level
Indah Saputra,Magna Cum Laude,has_GPA_level
Hadi Utami,IPB,attended
Hadi Utami,Jakarta,lives_in
Hadi Utami,PHP,has_skill
Hadi Utami,Docker,has_skill
Hadi Utami,HTML,has_skill
Hadi Utami,AWS,has_skill
Hadi Utami,Japanese,speaks
Hadi Utami,job_16,applied
Hadi Utami,job_6,applied
Hadi Utami,job_4,applied
Hadi Utami,Google Cloud Certified,has_certification
Hadi Utami,AWS Certified,has_certification
Hadi Utami,Director,has_experience_level
Hadi Utami,Summa Cum Laude,has_GPA_level
Dewi Fauzi,IPB,attended
Dewi Fauzi,Jakarta,lives_in
Dewi Fauzi,TypeScript,has_skill
Dewi Fauzi,R,has_skill
Dewi Fauzi,English,speaks
Dewi Fauzi,job_18,applied
Dewi Fauzi,AWS Certified,has_certification
Dewi Fauzi,Manager,has_experience_level
Dewi Fauzi,Cum Laude,has_GPA_level
Citra Permata,Unair,attended
Citra Permata,Bandung,lives_in
Citra Permata,Firebase,has_skill
Citra Permata,Kubernetes,has_skill
Citra Permata,Japanese,speaks
Citra Permata,job_19,applied
Citra Permata,job_13,applied
Citra Permata,job_6,applied
Citra Permata,Microsoft Certified,has_certification
Citra Permata,Manager,has_experience_level
Citra Permata,Summa Cum Laude,has_GPA_level
Nina Santoso,IPB,attended
Nina Santoso,Depok,lives_in
Nina Santoso,C++,has_skill
Nina Santoso,JavaScript,has_skill
Nina Santoso,AWS,has_skill
Nina Santoso,Japanese,speaks
Nina Santoso,job_18,applied
Nina Santoso,CompTIA Certified,has_certification
Nina Santoso,Mid Level,has_experience_level
Nina Santoso,Cum Laude,has_GPA_level
Andi Wibowo,UI,attended
Andi Wibowo,Tangerang,lives_in
Andi Wibowo,Java,has_skill
Andi Wibowo,JavaScript,has_skill
Andi Wibowo,SQL,has_skill
Andi Wibowo,GCP,has_skill
Andi Wibowo,English,speaks
Andi Wibowo,Indonesian,speaks
Andi Wibowo,job_15,applied
Andi Wibowo,job_6,applied
Andi Wibowo,CompTIA Certified,has_certification
Andi Wibowo,Director,has_experience_level
Andi Wibowo,With Honors,has_GPA_level
Gita Saputra,Binus,attended
Gita Saputra,Yogyakarta,lives_in
Gita Saputra,CSS,has_skill
Gita Saputra,C++,has_skill
Gita Saputra,AWS,has_skill
Gita Saputra,Japanese,speaks
Gita Saputra,Mandarin,speaks
Gita Saputra,job_14,applied
Gita Saputra,job_1,applied
Gita Saputra,AWS Certified,has_certification
Gita Saputra,Manager,has_experience_level
Gita Saputra,Summa Cum Laude,has_GPA_level
Qori Permata,UI,attended
Qori Permata,Bandung,lives_in
Qori Permata,CSS,has_skill
Qori Permata,Kubernetes,has_skill
Qori Permata,Indonesian,speaks
Qori Permata,Mandarin,speaks
Qori Permata,job_8,applied
Qori Permata,Google Cloud Certified,has_certification
Qori Permata,AWS Certified,has_certification
Qori Permata,Manager,has_experience_level
Qori Permata,Regular,has_GPA_level
Andi Fauzi,UI,attended
Andi Fauzi,Jakarta,lives_in
Andi Fauzi,Kubernetes,has_skill
Andi Fauzi,Python,has_skill
Andi Fauzi,SQL,has_skill
Andi Fauzi,JavaScript,has_skill
Andi Fauzi,Mandarin,speaks
Andi Fauzi,job_15,applied
Andi Fauzi,job_6,applied
Andi Fauzi,AWS Certified,has_certification
Andi Fauzi,Google Cloud Certified,has_certification
Andi Fauzi,Manager,has_experience_level
Andi Fauzi,Cum Laude,has_GPA_level
Gita Fauzi,Telkom,attended
Gita Fauzi,Surabaya,lives_in
Gita Fauzi,R,has_skill
Gita Fauzi,Swift,has_skill
Gita Fauzi,Kubernetes,has_skill
Gita Fauzi,Indonesian,speaks
Gita Fauzi,Arabic,speaks
Gita Fauzi,job_6,applied
Gita Fauzi,job_1,applied
Gita Fauzi,Microsoft Certified,has_certification
Gita Fauzi,Entry Level,has_experience_level
Gita Fauzi,Cum Laude,has_GPA_level
Nina Saputra,UMN,attended
Nina Saputra,Yogyakarta,lives_in
Nina Saputra,Docker,has_skill
Nina Saputra,HTML,has_skill
Nina Saputra,Java,has_skill
Nina Saputra,GCP,has_skill
Nina Saputra,Indonesian,speaks
Nina Saputra,job_19,applied
Nina Saputra,Google Cloud Certified,has_certification
Nina Saputra,Manager,has_experience_level
Nina Saputra,Cum Laude,has_GPA_level
Oka Permata,UMN,attended
Oka Permata,Bandung,lives_in
Oka Permata,GCP,has_skill
Oka Permata,Java,has_skill
Oka Permata,SQL,has_skill
Oka Permata,Swift,has_skill
Oka Permata,Japanese,speaks
Oka Permata,Indonesian,speaks
Oka Permata,job_10,applied
Oka Permata,job_7,applied
Oka Permata,job_8,applied
Oka Permata,Google Cloud Certified,has_certification
Oka Permata,Microsoft Certified,has_certification
Oka Permata,Manager,has_experience_level
Oka Permata,Summa Cum Laude,has_GPA_level
Indah Santoso,UI,attended
Indah Santoso,Jakarta,lives_in
Indah Santoso,GCP,has_skill
Indah Santoso,AWS,has_skill
Indah Santoso,C++,has_skill
Indah Santoso,Arabic,speaks
Indah Santoso,job_16,applied
Indah Santoso,Google Cloud Certified,has_certification
Indah Santoso,Microsoft Certified,has_certification
Indah Santoso,Entry Level,has_experience_level
Indah Santoso,Magna Cum Laude,has_GPA_level
Fajar Ramadhan,ITS,attended
Fajar Ramadhan,Surabaya,lives_in
Fajar Ramadhan,MongoDB,has_skill
Fajar Ramadhan,Kubernetes,has_skill
Fajar Ramadhan,Arabic,speaks
Fajar Ramadhan,English,speaks
Fajar Ramadhan,job_17,applied
Fajar Ramadhan,job_9,applied
Fajar Ramadhan,job_3,applied
Fajar Ramadhan,Microsoft Certified,has_certification
Fajar Ramadhan,Entry Level,has_experience_level
Fajar Ramadhan,Cum Laude,has_GPA_level
Kiki Wijaya,Unair,attended
Kiki Wijaya,Bandung,lives_in
Kiki Wijaya,R,has_skill
Kiki Wijaya,CSS,has_skill
Kiki Wijaya,NodeJS,has_skill
Kiki Wijaya,Japanese,speaks
Kiki Wijaya,job_15,applied
Kiki Wijaya,job_8,applied
Kiki Wijaya,job_1,applied
Kiki Wijaya,Cisco Certified,has_certification
Kiki Wijaya,Senior Level,has_experience_level
Kiki Wijaya,Cum Laude,has_GPA_level
Eka Saputra,ITB,attended
Eka Saputra,Surabaya,lives_in
Eka Saputra,PHP,has_skill
Eka Saputra,HTML,has_skill
Eka Saputra,Arabic,speaks
Eka Saputra,Mandarin,speaks
Eka Saputra,job_0,applied
Eka Saputra,job_3,applied
Eka Saputra,job_2,applied
Eka Saputra,CompTIA Certified,has_certification
Eka Saputra,Entry Level,has_experience_level
Eka Saputra,Summa Cum Laude,has_GPA_level
Kiki Wibowo,UMN,attended
Kiki Wibowo,Depok,lives_in
Kiki Wibowo,Swift,has_skill
Kiki Wibowo,Go,has_skill
Kiki Wibowo,Japanese,speaks
Kiki Wibowo,job_1,applied
Kiki Wibowo,job_11,applied
Kiki Wibowo,Google Cloud Certified,has_certification
Kiki Wibowo,Entry Level,has_experience_level
Kiki Wibowo,Summa Cum Laude,has_GPA_level
Citra Ramadhan,Unair,attended
Citra Ramadhan,Yogyakarta,lives_in
Citra Ramadhan,Go,has_skill
Citra Ramadhan,JavaScript,has_skill
Citra Ramadhan,HTML,has_skill
Citra Ramadhan,Kubernetes,has_skill
Citra Ramadhan,English,speaks
Citra Ramadhan,Indonesian,speaks
Citra Ramadhan,job_10,applied
Citra Ramadhan,job_13,applied
Citra Ramadhan,job_7,applied
Citra Ramadhan,Google Cloud Certified,has_certification
Citra Ramadhan,AWS Certified,has_certification
Citra Ramadhan,Manager,has_experience_level
Citra Ramadhan,Cum Laude,has_GPA_level
Dewi Halim,IPB,attended
Dewi Halim,Bandung,lives_in
Dewi Halim,MongoDB,has_skill
Dewi Halim,TypeScript,has_skill
Dewi Halim,Indonesian,speaks
Dewi Halim,Arabic,speaks
Dewi Halim,job_6,applied
Dewi Halim,Microsoft Certified,has_certification
Dewi Halim,CompTIA Certified,has_certification
Dewi Halim,Entry Level,has_experience_level
Dewi Halim,Summa Cum Laude,has_GPA_level
Lia Permata,ITS,attended
Lia Permata,Tangerang,lives_in
Lia Permata,Kotlin,has_skill
Lia Permata,Kubernetes,has_skill
Lia Permata,NodeJS,has_skill
Lia Permata,Python,has_skill
Lia Permata,Japanese,speaks
Lia Permata,job_18,applied
Lia Permata,AWS Certified,has_certification
Lia Permata,CompTIA Certified,has_certification
Lia Permata,Director,has_experience_level
Lia Permata,With Honors,has_GPA_level
Indah Santoso,ITS,attended
Indah Santoso,Tangerang,lives_in
Indah Santoso,Swift,has_skill
Indah Santoso,Docker,has_skill
Indah Santoso,C++,has_skill
Indah Santoso,Arabic,speaks
Indah Santoso,Indonesian,speaks
Indah Santoso,job_1,applied
Indah Santoso,job_13,applied
Indah Santoso,CompTIA Certified,has_certification
Indah Santoso,Director,has_experience_level
Indah Santoso,Magna Cum Laude,has_GPA_level
Oka Fauzi,ITS,attended
Oka Fauzi,Yogyakarta,lives_in
Oka Fauzi,NodeJS,has_skill
Oka Fauzi,GCP,has_skill
Oka Fauzi,Japanese,speaks
Oka Fauzi,job_9,applied
Oka Fauzi,job_13,applied
Oka Fauzi,job_10,applied
Oka Fauzi,Microsoft Certified,has_certification
Oka Fauzi,Google Cloud Certified,has_certification
Oka Fauzi,Mid Level,has_experience_level
Oka Fauzi,With Honors,has_GPA_level
Dewi Ramadhan,Telkom,attended
Dewi Ramadhan,Tangerang,lives_in
Dewi Ramadhan,HTML,has_skill
Dewi Ramadhan,AWS,has_skill
Dewi Ramadhan,R,has_skill
Dewi Ramadhan,Kotlin,has_skill
Dewi Ramadhan,Japanese,speaks
Dewi Ramadhan,job_6,applied
Dewi Ramadhan,job_13,applied
Dewi Ramadhan,Cisco Certified,has_certification
Dewi Ramadhan,CompTIA Certified,has_certification
Dewi Ramadhan,Manager,has_experience_level
Dewi Ramadhan,Magna Cum Laude,has_GPA_level
Citra Fauzi,Unair,attended
Citra Fauzi,Yogyakarta,lives_in
Citra Fauzi,HTML,has_skill
Citra Fauzi,SQL,has_skill
Citra Fauzi,R,has_skill
Citra Fauzi,Docker,has_skill
Citra Fauzi,English,speaks
Citra Fauzi,Indonesian,speaks
Citra Fauzi,job_9,applied
Citra Fauzi,job_7,applied
Citra Fauzi,job_6,applied
Citra Fauzi,AWS Certified,has_certification
Citra Fauzi,Entry Level,has_experience_level
Citra Fauzi,Magna Cum Laude,has_GPA_level
Joko Permata,IPB,attended
Joko Permata,Depok,lives_in
Joko Permata,MongoDB,has_skill
Joko Permata,Swift,has_skill
Joko Permata,Mandarin,speaks
Joko Permata,job_12,applied
Joko Permata,job_7,applied
Joko Permata,AWS Certified,has_certification
Joko Permata,Entry Level,has_experience_level
Joko Permata,With Honors,has_GPA_level
Lia Permata,Binus,attended
Lia Permata,Bandung,lives_in
Lia Permata,Docker,has_skill
Lia Permata,MongoDB,has_skill
Lia Permata,Java,has_skill
Lia Permata,JavaScript,has_skill
Lia Permata,Mandarin,speaks
Lia Permata,job_14,applied
Lia Permata,Cisco Certified,has_certification
Lia Permata,CompTIA Certified,has_certification
Lia Permata,Director,has_experience_level
Lia Permata,With Honors,has_GPA_level
Gita Wibowo,UGM,attended
Gita Wibowo,Tangerang,lives_in
Gita Wibowo,MongoDB,has_skill
Gita Wibowo,PHP,has_skill
Gita Wibowo,JavaScript,has_skill
Gita Wibowo,Arabic,speaks
Gita Wibowo,Mandarin,speaks
Gita Wibowo,job_7,applied
Gita Wibowo,job_8,applied
Gita Wibowo,job_14,applied
Gita Wibowo,Microsoft Certified,has_certification
Gita Wibowo,Mid Level,has_experience_level
Gita Wibowo,Summa Cum Laude,has_GPA_level
Budi Saputra,ITS,attended
Budi Saputra,Surabaya,lives_in
Budi Saputra,SQL,has_skill
Budi Saputra,Go,has_skill
Budi Saputra,AWS,has_skill
Budi Saputra,JavaScript,has_skill
Budi Saputra,Indonesian,speaks
Budi Saputra,Arabic,speaks
Budi Saputra,job_13,applied
Budi Saputra,Microsoft Certified,has_certification
Budi Saputra,Cisco Certified,has_certification
Budi Saputra,Manager,has_experience_level
