applicant,job,accepted
Andi Santoso,job_3,0
Andi Santoso,job_9,0
Andi Wibowo,job_5,1
Andi Wibowo,job_1,0
Andi Utami,job_4,0
Andi Utami,job_0,1
Andi Saputra,job_4,0
Andi Saputra,job_7,0
Andi Wijaya,job_3,0
Andi Wijaya,job_1,0
Andi Halim,job_0,1
Andi Halim,job_7,1
Andi Ramadhan,job_3,0
Andi Ramadhan,job_7,0
Andi Hernawan,job_8,1
Andi Hernawan,job_4,0
Andi Fauzi,job_7,1
Andi Fauzi,job_1,1
Andi Permata,job_1,1
Andi Permata,job_6,1
Andi Suryanto,job_7,0
Andi Suryanto,job_6,0
Andi Prabowo,job_0,0
Andi Prabowo,job_9,0
Andi Sihombing,job_4,0
Andi Sihombing,job_9,1
Andi Gunawan,job_4,0
Andi Gunawan,job_0,0
Andi Lestari,job_3,0
Andi Lestari,job_9,0
Andi Nugroho,job_0,1
Andi Nugroho,job_6,0
Andi Siregar,job_3,1
Andi Siregar,job_0,1
Andi Yulianto,job_5,0
Andi Yulianto,job_7,1
Andi Kusuma,job_5,0
Andi Kusuma,job_9,1
Andi Hidayat,job_5,1
Andi Hidayat,job_9,0
Andi Purnama,job_5,0
Andi Purnama,job_7,0
Andi aditya,job_2,0
Andi aditya,job_7,1
Andi Prasetyo,job_6,0
Andi Prasetyo,job_1,0
Andi Sutrisno,job_5,0
Andi Sutrisno,job_9,0
Andi Wulandari,job_8,0
Andi Wulandari,job_2,1
Andi Siregar,job_2,0
Andi Siregar,job_5,0
Andi Haryanto,job_2,0
Andi Haryanto,job_9,0
Andi Larasati,job_6,0
Andi Larasati,job_1,0
Andi Prabuwono,job_8,1
Andi Prabuwono,job_9,1
Andi Kurniawan,job_0,0
Andi Kurniawan,job_4,0
Andi Sukmawati,job_2,0
Andi Sukmawati,job_3,0
Andi Wicaksono,job_7,1
Andi Wicaksono,job_1,0
Andi Sutanto,job_5,0
Andi Sutanto,job_8,0
Andi Wicaksono,job_6,0
Andi Wicaksono,job_3,0
Andi Prabowo,job_1,0
Andi Prabowo,job_3,1
Andi Haryanto,job_3,0
Andi Haryanto,job_0,0
Andi Lestari,job_1,1
Andi Lestari,job_7,1
Andi Nugroho,job_4,0
Andi Nugroho,job_3,1
Andi Siregar,job_3,1
Andi Siregar,job_8,0
Andi Yulianto,job_3,1
Andi Yulianto,job_0,1
Andi Kusuma,job_3,0
Andi Kusuma,job_2,0
Andi Hidayat,job_1,1
Andi Hidayat,job_4,1
Andi Purnama,job_5,1
Andi Purnama,job_6,0
Budi Santoso,job_5,1
Budi Santoso,job_6,1
Budi Wibowo,job_9,0
Budi Wibowo,job_7,1
Budi Utami,job_7,1
Budi Utami,job_0,1
Budi Saputra,job_4,0
Budi Saputra,job_7,1
Budi Wijaya,job_8,1
Budi Wijaya,job_1,1
Budi Halim,job_5,0
Budi Halim,job_7,1
Budi Ramadhan,job_7,0
Budi Ramadhan,job_1,1
Budi Hernawan,job_1,1
Budi Hernawan,job_3,0
Budi Fauzi,job_1,1
Budi Fauzi,job_7,1
Budi Permata,job_9,1
Budi Permata,job_7,1
Budi Suryanto,job_7,0
Budi Suryanto,job_3,1
Budi Prabowo,job_2,0
Budi Prabowo,job_0,0
Budi Sihombing,job_8,0
Budi Sihombing,job_2,0
Budi Gunawan,job_6,0
Budi Gunawan,job_8,1
Budi Lestari,job_9,0
Budi Lestari,job_1,0
Budi Nugroho,job_7,0
Budi Nugroho,job_4,1
Budi Siregar,job_9,1
Budi Siregar,job_5,1
Budi Yulianto,job_1,1
Budi Yulianto,job_3,1
Budi Kusuma,job_6,0
Budi Kusuma,job_2,1
Budi Hidayat,job_2,1
Budi Hidayat,job_3,0
Budi Purnama,job_7,1
Budi Purnama,job_3,0
Budi aditya,job_1,1
Budi aditya,job_9,1
Budi Prasetyo,job_9,0
Budi Prasetyo,job_0,1
Budi Sutrisno,job_6,0
Budi Sutrisno,job_0,0
Budi Wulandari,job_5,1
Budi Wulandari,job_8,0
Budi Siregar,job_4,1
Budi Siregar,job_6,1
Budi Haryanto,job_1,1
Budi Haryanto,job_9,0
Budi Larasati,job_5,0
Budi Larasati,job_7,0
Budi Prabuwono,job_2,1
Budi Prabuwono,job_1,1
Budi Kurniawan,job_2,0
Budi Kurniawan,job_3,0
Budi Sukmawati,job_5,1
Budi Sukmawati,job_8,1
Budi Wicaksono,job_2,1
Budi Wicaksono,job_6,1
Budi Sutanto,job_3,1
Budi Sutanto,job_2,0
Budi Wicaksono,job_6,1
Budi Wicaksono,job_0,1
Budi Prabowo,job_0,0
Budi Prabowo,job_1,1
Budi Haryanto,job_8,1
Budi Haryanto,job_0,0
Budi Lestari,job_5,0
Budi Lestari,job_3,0
Budi Nugroho,job_3,1
Budi Nugroho,job_7,1
Budi Siregar,job_2,1
Budi Siregar,job_6,0
Budi Yulianto,job_1,0
Budi Yulianto,job_2,0
Budi Kusuma,job_2,1
Budi Kusuma,job_1,0
Budi Hidayat,job_1,1
Budi Hidayat,job_2,0
Budi Purnama,job_5,0
Budi Purnama,job_3,1
Citra Santoso,job_6,0
Citra Santoso,job_0,0
Citra Wibowo,job_0,1
Citra Wibowo,job_3,0
Citra Utami,job_6,0
Citra Utami,job_7,0
Citra Saputra,job_2,0
Citra Saputra,job_7,0
Citra Wijaya,job_6,1
Citra Wijaya,job_2,0
Citra Halim,job_7,1
Citra Halim,job_1,1
Citra Ramadhan,job_1,1
Citra Ramadhan,job_8,0
Citra Hernawan,job_2,1
Citra Hernawan,job_0,1
Citra Fauzi,job_7,1
Citra Fauzi,job_5,0
Citra Permata,job_5,0
Citra Permata,job_4,1
Citra Suryanto,job_7,0
Citra Suryanto,job_6,0
Citra Prabowo,job_9,0
Citra Prabowo,job_8,0
Citra Sihombing,job_9,1
Citra Sihombing,job_2,1
Citra Gunawan,job_7,0
Citra Gunawan,job_5,0
Citra Lestari,job_1,0
Citra Lestari,job_4,0
Citra Nugroho,job_4,1
Citra Nugroho,job_8,0
Citra Siregar,job_5,0
Citra Siregar,job_3,1
Citra Yulianto,job_4,0
Citra Yulianto,job_3,1
Citra Kusuma,job_6,1
Citra Kusuma,job_4,0
Citra Hidayat,job_3,0
Citra Hidayat,job_2,0
Citra Purnama,job_3,0
Citra Purnama,job_5,1
Citra aditya,job_3,0
Citra aditya,job_7,1
Citra Prasetyo,job_4,1
Citra Prasetyo,job_3,0
Citra Sutrisno,job_5,0
Citra Sutrisno,job_2,0
Citra Wulandari,job_5,1
Citra Wulandari,job_3,0
Citra Siregar,job_9,0
Citra Siregar,job_7,1
Citra Haryanto,job_9,1
Citra Haryanto,job_1,0
Citra Larasati,job_8,1
Citra Larasati,job_6,1
Citra Prabuwono,job_4,0
Citra Prabuwono,job_7,0
Citra Kurniawan,job_9,0
Citra Kurniawan,job_4,0
Citra Sukmawati,job_4,0
