node,type
Andi Santoso,applicant
Andi Wibowo,applicant
Andi Utami,applicant
Andi Saputra,applicant
Andi Wijaya,applicant
Andi Halim,applicant
Andi Ramadhan,applicant
Andi Hernawan,applicant
Andi Fauzi,applicant
Andi Permata,applicant
Budi Santoso,applicant
Budi Wibowo,applicant
Budi Utami,applicant
Budi Saputra,applicant
Budi Wijaya,applicant
Budi Halim,applicant
Budi Ramadhan,applicant
Budi Hernawan,applicant
Budi Fauzi,applicant
Budi Permata,applicant
Citra Santoso,applicant
Citra Wibowo,applicant
Citra Utami,applicant
Citra Saputra,applicant
Citra Wijaya,applicant
Citra Halim,applicant
Citra Ramadhan,applicant
Citra Hernawan,applicant
Citra Fauzi,applicant
Citra Permata,applicant
Dewi Santoso,applicant
Dewi Wibowo,applicant
Dewi Utami,applicant
Dewi Saputra,applicant
Dewi Wijaya,applicant
Dewi Halim,applicant
Dewi Ramadhan,applicant
Dewi Hernawan,applicant
Dewi Fauzi,applicant
Dewi Permata,applicant
Eka Santoso,applicant
Eka Wibowo,applicant
Eka Utami,applicant
Eka Saputra,applicant
Eka Wijaya,applicant
Eka Halim,applicant
Eka Ramadhan,applicant
Eka Hernawan,applicant
Eka Fauzi,applicant
Eka Permata,applicant
Fajar Santoso,applicant
Fajar Wibowo,applicant
Fajar Utami,applicant
Fajar Saputra,applicant
Fajar Wijaya,applicant
Fajar Halim,applicant
Fajar Ramadhan,applicant
Fajar Hernawan,applicant
Fajar Fauzi,applicant
Fajar Permata,applicant
Gita Santoso,applicant
Gita Wibowo,applicant
Gita Utami,applicant
Gita Saputra,applicant
Gita Wijaya,applicant
Gita Halim,applicant
Gita Ramadhan,applicant
Gita Hernawan,applicant
Gita Fauzi,applicant
Gita Permata,applicant
Hadi Santoso,applicant
Hadi Wibowo,applicant
Hadi Utami,applicant
Hadi Saputra,applicant
Hadi Wijaya,applicant
Hadi Halim,applicant
Hadi Ramadhan,applicant
Hadi Hernawan,applicant
Hadi Fauzi,applicant
Hadi Permata,applicant
Indah Santoso,applicant
Indah Wibowo,applicant
Indah Utami,applicant
Indah Saputra,applicant
Indah Wijaya,applicant
Indah Halim,applicant
Indah Ramadhan,applicant
Indah Hernawan,applicant
Indah Fauzi,applicant
Indah Permata,applicant
Joko Santoso,applicant
Joko Wibowo,applicant
Joko Utami,applicant
Joko Saputra,applicant
Joko Wijaya,applicant
Joko Halim,applicant
Joko Ramadhan,applicant
Joko Hernawan,applicant
Joko Fauzi,applicant
Joko Permata,applicant
Kiki Santoso,applicant
Kiki Wibowo,applicant
Kiki Utami,applicant
Kiki Saputra,applicant
Kiki Wijaya,applicant
Kiki Halim,applicant
Kiki Ramadhan,applicant
Kiki Hernawan,applicant
Kiki Fauzi,applicant
Kiki Permata,applicant
Lia Santoso,applicant
Lia Wibowo,applicant
Lia Utami,applicant
Lia Saputra,applicant
Lia Wijaya,applicant
Lia Halim,applicant
Lia Ramadhan,applicant
Lia Hernawan,applicant
Lia Fauzi,applicant
Lia Permata,applicant
Mira Santoso,applicant
Mira Wibowo,applicant
Mira Utami,applicant
Mira Saputra,applicant
Mira Wijaya,applicant
Mira Halim,applicant
Mira Ramadhan,applicant
Mira Hernawan,applicant
Mira Fauzi,applicant
Mira Permata,applicant
Nina Santoso,applicant
Nina Wibowo,applicant
Nina Utami,applicant
Nina Saputra,applicant
Nina Wijaya,applicant
Nina Halim,applicant
Nina Ramadhan,applicant
Nina Hernawan,applicant
Nina Fauzi,applicant
Nina Permata,applicant
Oka Santoso,applicant
Oka Wibowo,applicant
Oka Utami,applicant
Oka Saputra,applicant
Oka Wijaya,applicant
Oka Halim,applicant
Oka Ramadhan,applicant
Oka Hernawan,applicant
Oka Fauzi,applicant
Oka Permata,applicant
Putri Santoso,applicant
Putri Wibowo,applicant
Putri Utami,applicant
Putri Saputra,applicant
Putri Wijaya,applicant
Putri Halim,applicant
Putri Ramadhan,applicant
Putri Hernawan,applicant
Putri Fauzi,applicant
Putri Permata,applicant
Qori Santoso,applicant
Qori Wibowo,applicant
Qori Utami,applicant
Qori Saputra,applicant
Qori Wijaya,applicant
Qori Halim,applicant
Qori Ramadhan,applicant
Qori Hernawan,applicant
Qori Fauzi,applicant
Qori Permata,applicant
Rudi Santoso,applicant
Rudi Wibowo,applicant
Rudi Utami,applicant
Rudi Saputra,applicant
Rudi Wijaya,applicant
Rudi Halim,applicant
Rudi Ramadhan,applicant
Rudi Hernawan,applicant
Rudi Fauzi,applicant
Rudi Permata,applicant
Sari Santoso,applicant
Sari Wibowo,applicant
Sari Utami,applicant
Sari Saputra,applicant
Sari Wijaya,applicant
Sari Halim,applicant
Sari Ramadhan,applicant
Sari Hernawan,applicant
Sari Fauzi,applicant
Sari Permata,applicant
Tono Santoso,applicant
Tono Wibowo,applicant
Tono Utami,applicant
Tono Saputra,applicant
Tono Wijaya,applicant
Tono Halim,applicant
Tono Ramadhan,applicant
Tono Hernawan,applicant
Tono Fauzi,applicant
Tono Permata,applicant
job_0,job
job_1,job
job_2,job
job_3,job
job_4,job
job_5,job
job_6,job
job_7,job
job_8,job
job_9,job
Tokopedia,company
Bukalapak,company
Shopee,company
Gojek,company
Grab,company
Traveloka,company
Ruangguru,company
OVO,company
Zenius,company
Dana,company
Python,skill
Java,skill
SQL,skill
C++,skill
Go,skill
HTML,skill
CSS,skill
JavaScript,skill
PHP,skill
R,skill
NodeJS,skill
TypeScript,skill
Kotlin,skill
Swift,skill
MongoDB,skill
Firebase,skill
Docker,skill
Kubernetes,skill
AWS,skill
GCP,skill
English,language
Indonesian,language
Japanese,language
Mandarin,language
Arabic,language
ITB,school
UI,school
UGM,school
Binus,school
Unpad,school
ITS,school
Telkom,school
IPB,school
Unair,school
UMN,school
Jakarta,city
Bandung,city
Surabaya,city
Yogyakarta,city
Depok,city
Tangerang,city
Entry Level,experience_level
Mid Level,experience_level
Senior Level,experience_level
Manager,experience_level
Director,experience_level
AWS Certified,certification
Google Cloud Certified,certification
Microsoft Certified,certification
Cisco Certified,certification
CompTIA Certified,certification
Software Engineer,job_role
Data Scientist,job_role
Web Developer,job_role
Mobile Developer,job_role
DevOps Engineer,job_role
UI/UX Designer,job_role
Product Manager,job_role
System Analyst,job_role
Network Engineer,job_role
Database Administrator,job_role
Cum Laude,GPA_level
Magna Cum Laude,GPA_level
Summa Cum Laude,GPA_level
With Honors,GPA_level
Regular,GPA_level
