applicant,job,accepted
Hadi Santoso,job_13,1
Rudi Saputra,job_2,1
Tono Utami,job_6,1
Indah Utami,job_11,0
Citra Ramadhan,job_7,0
Kiki Santoso,job_12,1
Indah Wibowo,job_9,0
Oka Fauzi,job_15,1
Dewi Santoso,job_16,0
Citra Permata,job_0,1
Oka Halim,job_4,0
Kiki Wibowo,job_3,0
Qori Permata,job_10,1
Hadi Utami,job_13,0
Kiki Wibowo,job_18,0
Fajar Ramadhan,job_12,1
Nina Santoso,job_2,0
Nina Saputra,job_3,1
Budi Saputra,job_8,0
Indah Wibowo,job_0,0
Indah Santoso,job_3,1
Lia Saputra,job_16,1
Andi Wibowo,job_9,1
Lia Saputra,job_15,1
Gita Permata,job_2,1
Citra Permata,job_15,0
Lia Permata,job_14,0
Nina Santoso,job_15,1
Dewi Ramadhan,job_14,1
Joko Wibowo,job_5,0
Kiki Wijaya,job_1,0
Tono Utami,job_18,1
Indah Wibowo,job_7,1
Hadi Utami,job_5,0
Oka Fauzi,job_1,0
Joko Permata,job_7,0
Dewi Halim,job_18,0
Andi Wibowo,job_12,1
Citra Fauzi,job_11,0
Citra Ramadhan,job_8,0
Dewi Fauzi,job_19,0
Putri Ramadhan,job_11,1
Kiki Wijaya,job_6,0
Andi Fauzi,job_18,1
Rudi Saputra,job_9,1
Indah Santoso,job_13,1
Kiki Saputra,job_10,1
Nina Santoso,job_17,1
Oka Permata,job_14,1
Indah Saputra,job_12,0
Gita Saputra,job_18,0
Lia Permata,job_5,0
Dewi Fauzi,job_6,0
Fajar Hernawan,job_14,1
Dewi Fauzi,job_16,0
Oka Halim,job_9,0
Dewi Halim,job_3,0
Indah Wibowo,job_15,0
