node,type,pca_x,pca_y
Andi Santoso,applicant,0.03174084418715639,-0.42520416657946414
Andi Wibowo,applicant,0.13517638563362022,0.3035954359434436
Andi Utami,applicant,0.14679976355323854,-0.2398804999373878
Andi Saputra,applicant,0.1247027845853177,-0.3825418705833072
Andi Wijaya,applicant,0.05016036492177767,0.24369546023092653
Andi Halim,applicant,0.07996201537353087,-0.46804786910268253
Andi Ramadhan,applicant,0.06591617292129692,0.08106546699232109
Andi Hernawan,applicant,0.09168095923535613,-0.01903292259110115
Andi Fauzi,applicant,-0.022269744302987005,-0.10386534807567814
Andi Permata,applicant,0.04301392937032156,0.789792164434577
Andi Suryanto,applicant,0.09416574906747743,0.39016594043493247
Andi Prabowo,applicant,0.13727287095021956,0.36441702649166813
Andi Prabowo,applicant,0.13727287095021956,0.36441702649166813
Andi Sihombing,applicant,0.14281075874277482,-0.5110968947613117
Andi Gunawan,applicant,0.14852384413302133,-0.32770959276415285
Andi Lestari,applicant,0.20998867103277152,0.05982079083905384
Andi Lestari,applicant,0.20998867103277152,0.05982079083905384
Andi Nugroho,applicant,0.20967485910285422,-0.003383528934442995
Andi Nugroho,applicant,0.20967485910285422,-0.003383528934442995
Andi Siregar,applicant,0.1882732403354398,-0.14142322565797782
Andi Siregar,applicant,0.1882732403354398,-0.14142322565797782
Andi Siregar,applicant,0.1882732403354398,-0.14142322565797782
Andi Yulianto,applicant,0.16761115292320472,-0.13076418736773188
Andi Yulianto,applicant,0.16761115292320472,-0.13076418736773188
Andi Kusuma,applicant,0.166428923155149,-0.5758352916417073
Andi Kusuma,applicant,0.166428923155149,-0.5758352916417073
Andi Hidayat,applicant,0.23928439571382265,-0.25478740201087924
Andi Hidayat,applicant,0.23928439571382265,-0.25478740201087924
Andi Purnama,applicant,0.19489478698694562,-0.06273199254385883
Andi Purnama,applicant,0.19489478698694562,-0.06273199254385883
Andi aditya,applicant,0.014236459902576049,-0.7364966799222465
Andi Prasetyo,applicant,0.06121683850282211,0.9894050716307284
Andi Sutrisno,applicant,0.18084621833290626,-0.24841864110238066
Andi Wulandari,applicant,0.09043216475207883,-0.4051696653084745
Andi Haryanto,applicant,0.18817479266674442,-0.026360497645849825
Andi Haryanto,applicant,0.18817479266674442,-0.026360497645849825
Andi Larasati,applicant,-6.322803998148885e-07,0.5311315733286124
Andi Prabuwono,applicant,0.06251072465576768,-0.07476860228892132
Andi Kurniawan,applicant,0.06876907780185515,-0.3875103077844574
Andi Sukmawati,applicant,0.06980606995143779,-0.2961621621197265
Andi Wicaksono,applicant,0.1660416917530052,0.46123418398415417
Andi Wicaksono,applicant,0.1660416917530052,0.46123418398415417
Andi Sutanto,applicant,0.17000021832844336,-0.22191590416507567
