,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,type
Dewi Santoso,0.3373849,-0.09877088,0.021974398,0.19163035,-0.11067262,-0.24766979,-0.27566302,0.055560134,-0.16175705,-0.11164804,-0.01367887,0.030074297,-0.11292536,-0.09670925,0.029704133,0.27914432,0.16788013,-0.18992709,0.025419256,0.2229257,0.030757423,0.5621557,0.41337523,-0.49713925,0.38431743,0.20855178,-0.06386271,-0.07814746,-0.24281488,-0.16581751,0.1641928,-0.14223994,0.16873701,-0.052677106,0.053944275,0.47407785,0.17974173,0.0694145,-0.09464268,-0.1202428,0.02684393,0.0005696142,0.009503632,-0.20731136,0.14201419,0.0036391402,0.073204026,-0.19983418,-0.10203508,0.3632682,-0.35310203,0.094094604,0.085524656,0.53279144,-0.013372168,0.2530197,-0.15450846,0.039461214,0.012730068,0.16192424,0.24966845,-0.18940854,0.15384027,0.121773005,applicant
Indah Saputra,-0.26679012,-0.2534838,-0.024872568,0.27895167,0.34527406,-0.13251577,0.2651449,-0.32179826,-0.6999448,-0.46950352,-0.17800182,0.13004193,-0.19471917,-0.27466494,0.07827856,0.15146147,-0.12909418,0.078158826,0.034953494,0.27138975,0.16162597,0.12998724,0.11899223,-0.26507473,-0.117395185,-0.015726916,-0.16610107,-0.14416029,0.18149026,-0.18585452,0.03643148,-0.13581058,-0.19591038,0.0689561,0.028864903,0.11766728,0.16477506,0.2238905,0.08849168,-0.14271314,0.2493774,0.14950563,0.14553149,0.13775508,0.2583825,0.029184477,0.21057582,0.21773969,0.121147096,0.10051878,0.082712516,-0.134658,-0.025237516,0.3275032,-0.058783393,-0.23030268,0.02621905,0.1251354,0.2878144,0.3105067,-0.23997742,-0.1256456,-0.39246714,0.17640612,applicant
Hadi Utami,0.20253195,0.1838855,0.06207378,0.1381083,0.41391757,0.25269225,0.15535702,0.071186714,-0.3170618,-0.090632595,0.053515647,-0.53728724,-0.07928481,0.034938257,0.008261887,0.07198276,-0.03455856,0.23469652,0.15437108,0.27070922,0.31016532,0.41157684,0.5063238,-0.09042355,0.16493033,0.49581957,-0.0012184428,0.17766087,0.12332276,-0.04130665,-0.04002215,0.072519176,-0.14453457,-0.1932682,0.009687231,0.05506505,0.09484724,0.167944,0.2032764,-0.12865843,0.01242398,-0.11074234,0.17895982,0.011933104,0.123528026,0.20662855,-0.09729761,0.06576093,0.12353631,-0.16871683,0.11154568,-0.6240241,0.037078597,0.17672822,0.11194994,-0.2258392,-0.015533749,-0.10120588,0.008182103,0.14609413,-0.06234357,0.08580756,0.17014518,-0.3869186,applicant
Dewi Fauzi,-0.1554381,-0.3498811,0.027528072,-0.17964344,0.3527344,0.0090809,0.073245846,0.31403425,-0.33720326,0.096750066,-0.10898027,-0.46700314,-0.17296454,-0.06275253,-0.08907794,-0.076990984,-0.15759684,0.14976667,0.18784933,-0.053170275,0.27244037,0.18776366,0.38658074,0.02198109,-0.32568136,0.12081711,-0.15613167,-0.1839357,0.059997555,-0.2856893,0.25631216,0.16403744,-0.13100989,0.29481623,0.12151127,0.09499697,0.19265573,-0.21692242,0.25564054,0.094443925,-0.14481916,-0.07767354,0.4083016,0.0438177,0.31025782,0.21811655,-0.07659314,-0.058787677,0.26324666,0.2618828,0.55966204,-0.12517136,0.12665597,0.47149053,-0.16983946,0.022252435,0.199204,-0.16436918,0.21922654,0.019945797,-0.5208372,0.12433482,0.16580532,0.365011,applicant
Citra Permata,-0.3655455,0.05385628,0.1049287,0.16756523,0.15104502,0.10406464,0.16255453,-0.07729873,-0.5474533,-0.0010184938,0.07542076,-0.41022146,0.034197904,0.014868161,0.10689081,0.4717587,0.23911747,-0.06180502,0.026303297,-0.14607552,-0.104040794,0.109606005,0.36892617,-0.23426843,0.16342436,0.16543129,0.23694819,0.044353027,0.07839481,0.24117087,-0.024661656,-0.26872444,-0.26113296,0.10174544,-0.080992095,-0.08875758,-0.13688284,-0.1370647,-0.35300392,0.16438836,-0.40707472,0.059066456,0.17785178,-0.02396955,0.07801345,0.15798277,-0.0043225572,0.03734164,0.448893,0.09431,0.25334457,0.04191137,0.033869967,0.35042602,0.111842275,0.0714007,0.071407,0.21129313,-0.46150902,0.17823389,0.27185604,-0.14194591,-0.033718046,0.09095262,applicant
Nina Santoso,-0.07276094,-0.1543745,0.15745836,-0.008238088,0.38350284,0.16947128,0.21935512,0.38614008,-0.19665387,0.10852292,0.022879476,-0.2778308,-0.75295347,0.410959,0.1303648,-0.11020253,-0.061913032,0.17163494,0.37738967,0.16998944,0.030850291,0.18829757,0.36351123,-0.02727612,-0.0053136507,0.39190754,0.04816941,0.2095754,-0.31480423,-0.0151693905,-0.092688814,0.2468123,-0.17283745,0.22358152,0.031494815,0.05162853,0.00134414,-0.13674095,0.090573326,0.08296665,-0.036017943,0.11440267,-0.10224746,-0.13758935,0.07866072,-0.2571747,-0.14944947,-0.12790509,-0.1374402,0.2690956,0.19561186,0.063635565,0.024414347,0.2563382,0.2588172,0.17572407,0.10051948,-0.30557063,0.21852429,0.33106118,0.010292548,-0.41540396,-0.04927471,-0.16992049,applicant
Andi Wibowo,0.17679922,-0.15288901,0.15194976,-0.07864572,0.1702964,-0.034804016,0.06830308,0.16088083,-0.043884493,-0.1676568,-0.13643509,0.04228517,-0.43265757,-0.014483791,-0.11051268,-0.102008045,0.26091486,-0.30464152,-0.0726747,0.07787522,0.21735635,0.28031424,0.1019587,-0.38137153,-0.085523516,0.5141781,0.029136991,-0.085126944,0.3031938,0.09398299,-0.02045319,-0.03286433,-0.3616177,0.00026471785,0.048758972,-0.045279894,0.0915298,0.1595074,0.077847525,0.34679326,-0.3298488,-0.3617994,0.30895308,-0.32760426,-0.04573933,-0.32029843,-0.09169182,-0.31442943,0.15867867,0.17318867,-0.43959203,-0.26000962,0.31923288,0.23174673,-0.2775907,0.19421901,-0.017618956,0.18164386,-0.10882751,0.13661005,-0.10667409,-0.24032582,-0.17164986,0.23486122,applicant
Gita Saputra,0.1510501,0.015244529,-0.024979824,0.02497199,-0.17626294,-0.20753472,0.055047758,0.24379197,-0.15854324,-0.25706273,0.17341202,-0.6470421,-0.22932614,-0.06821011,0.23069227,0.42141727,-0.23607093,-0.0038623596,0.21987009,0.13787442,0.20560583,0.39725256,0.15454158,0.061829373,0.13268167,0.28354976,0.103449814,-0.17051959,-0.022300107,-0.006959424,0.08003067,-0.052259587,-0.10652518,0.052042935,-0.03628599,0.3500001,-0.43021318,0.16486235,-0.095697545,-0.19426967,0.09569537,0.17794618,-0.019877167,-0.34241864,0.35502815,-0.042163096,-0.012599794,-0.16176492,0.036397263,0.12834762,0.314418,0.15605764,0.18372682,0.1424558,0.47592783,-0.06803718,-0.04548795,-0.11908037,-0.111078426,0.22865991,-0.12442948,0.01756803,-0.20409647,-0.23416352,applicant
Qori Permata,0.34431258,-0.13279495,-0.1106279,0.088894464,-0.20125574,-0.23786429,0.116449624,-0.18029849,-0.30366737,-0.15054157,0.099544786,-0.38857105,-0.15883811,0.046562627,-0.2156156,0.024971543,-0.16136122,-0.13870035,0.24353926,0.06067337,0.2876365,0.03815266,0.18271738,-0.029240321,-0.048764363,-0.0049790405,0.04730235,-0.393855,0.29290545,0.27847958,0.3960571,-0.1822043,-0.25769618,0.17693006,-0.20002343,-0.17312975,-0.16468808,-0.29409605,-0.22363268,-0.041125763,0.115494885,-0.036884267,0.1959129,-0.1562635,0.38366622,-0.05895557,0.0473975,-0.064065196,0.2349184,0.1796484,-0.206656,-0.10710616,0.16177982,0.70582926,-0.13494778,0.11791827,-0.41771117,0.09911836,-0.39091182,0.07922049,-0.058097616,-0.06210159,-0.22495474,-0.10690139,applicant
Andi Fauzi,0.1922748,0.13862956,-0.16417368,0.05136539,0.1859755,-0.26602107,-0.086324796,0.10896654,-0.17386585,-0.27332014,0.2299329,-0.28556097,-0.26914096,0.07175726,-0.031441156,-0.07610004,-0.113766715,0.036679912,0.39469096,-0.04935608,0.23693837,0.091951825,0.38040543,-0.41929418,-0.0864749,0.040601306,0.06444188,-0.22450459,0.16637395,-0.17911404,0.20999174,-0.043281093,-0.17173238,0.10585477,-0.13531627,-0.124066845,-0.13480607,-0.30081388,0.1921745,0.23918407,-0.18139738,-0.21174136,0.31387347,0.017996129,0.09909957,-0.20322329,-0.13884123,-0.1274331,0.36262137,0.24748752,-0.21950802,-0.12259779,0.14895272,0.31282732,0.20964752,-0.09669007,-0.12838814,-0.059978362,-0.03989524,0.1366285,0.10332899,-0.033972196,-0.29955235,0.40921956,applicant
